SHARAD MALIK,Retargetable,1
PARIS C. KANELLAKIS,Query,1
RICHARD M. KARP,Revolution,1
CLEMENT T. YU,Distributed,1
SANDEEPAN BANERJEE,Architecture,1
KSHITIJ SHAH,Building,1
NELSON MENDONçA MATTOS,Sql3,1
SILVIA CLERICI,Systematic,1
CHRISTOPHER M. BISHOP,Neural,1
ARTO SALOMAA,Cernys',1
P. BERTAINA,Environment,1
MANUEL VELASCO,Cardinality,1
PAOLO CONFORTO,Solutions,1
JULIáN GUTIéRREZ SERRANO,Strategies,1
SANJAY MANCHANDA,Updates,1
DAVID MAIER,Development,1
MARC H. SCHOLL,System,1
JIM DIEDERICH,"Messages,",1
HARTMUT EHRIG,1985,1
TOBIN J. LEHMAN,Manager,1
MICHAEL WEISS,Patterns,1
PATRICK BORRAS,Interfaces,1
JAMES FELDMAN,Logic,1
F. J. GONZáLEZ,Ortof�nicos,1
MARKUS DIECKMANN,Implementierungstechnologien,1
VERóNICA DAHL,Towards,1
MECHTHILD ROHEN,Modules,1
JUAN C. BURGUILLO-RIAL,Interconnecting,1
A. GONZáLEZ,Hypermedia,2
PERETZ SHOVAL,Constraints,1
JERZY TIURYN,Programs,1
CHRISTOPHER M. BISHOP,Networks,1
THOMAS LEMKE,Interoperable,1
RAVI S. SANDHU,Detection,2
VANCE E. WADDLE,Database,1
SILVIA CLERICI,Transform,1
TOMáS A. PéREZ,Aid,1
ELENA CASTRO,Relational,1
JULIáN GUTIéRREZ SERRANO,User,1
JOSé LUIS SIERRA,"Analysis,",1
TEODOR C. PRZYMUSINSKI,Deductive,1
DIDIER TALLOT,Looks,1
HENK BARENDREGT,Tale,1
HELMUT THOMA,Lernen,1
A. GONZáLEZ,With,1
BARRON C. HOUSEL,An,1
MARTIN GAEDKE,F�r,1
STEVEN BLUNDY,Rice,1
LUC BOASSON,Context-free,1
JUAN DE LARA,Internet,1
CIARáN BRYCE,Internet,1
PATRICK BORRAS,User,1
FRED ENGLER,Sequence,1
STEVEN A. DEMURJIAN,Design,1
DEXTER KOZEN,Programs,1
ERIK SANDEWALL,Actions,1
NORA KOCH,Web,1
JEAN-CLAUDE MAMOU,Building,1
MIGUEL A. REDONDO,Environments,1
MIGUEL A. REDONDO,Collaborative,1
WALTER DEALEMANS,Classification,1
H. V. JAGADISH,Similarity,1
EHUD Y. SHAPIRO,Polymorphically,1
LUIS E. ANIDO-RIFóN,Creating,1
TOBIN J. LEHMAN,Design,1
VIBBY GOTTEMUKKALA,The,1
SILVIA CLERICI,Object-oriented,1
ANDRé OOSTERLINCK,System,1
JOXAN JAFFAR,Logic,1
MANUEL ORTEGA,Environments,1
HIROKO SHOJI,Communication,1
CRESCENCIO BRAVO,Environments,1
JOSé ÁNGEL VADILLO ZORITA,Knowledge,1
BALTASAR FERNáNDEZ-MANJóN,Educational,1
MICHAEL I. JORDAN,Neural,1
ALAN WATT,Mainstream,1
S. TODD,Interface,1
M. N. MORENO,Laboratory,1
NADIA BUSI,Coordination,1
JAN L. G. DIETZ,Comprehensive,1
ARMIN B. CREMERS,Systems,1
GIANLUIGI ZAVATTARO,Models:,1
NELSON MENDONçA MATTOS,Database,1
B. CURTO,Using,1
HELEN PULL,Languages,1
TOMáS A. PéREZ,Limiting,1
BERND MAHR,Theory,1
RAVI MUKKAMALA,Semantics-based,1
ANTONIO DI LEVA,Design,1
BALTASAR FERNáNDEZ-MANJóN,Applications,1
MARKUS DIECKMANN,Web-anwendungen,1
GERHARD WIDMER,Learning,1
SUBRAMANIAN RAJAGOPALAN,Word,1
ALAN R. HEVNER,Network,1
PARIS C. KANELLAKIS,Relational,1
JOSé ÁNGEL VADILLO ZORITA,Aid,1
ALAN R. HEVNER,Methods,1
WOLFGANG KLAS,Playout,1
DOLORES CUANDRA,Cardinality,1
M. N. MORENO,Software,1
M. J. FERNáNDEZ,Collaborative,1
FABIO CIRAVEGNA,Information,1
PHILIPPE SMETS,The,1
VIPUL KASHYAP,Patch,1
J. BAKER,Regularities,1
P. GIOLITO,Relational,1
CARLOS NIETO,Schemata,1
ANDREA OMICINI,Basic,1
ALEXIEI DINGLI,Annotation,1
JANE S. RICHARDSON,Data,1
CORAL CALERO,Warehouse,1
PHILIPPE SMETS,Belief,2
JANE S. RICHARDSON,Mining,1
DIDIER TALLOT,User,1
KENG SIAU,Process,1
TOMáS A. PéREZ,Pedagogical,1
YUKIO OHSAWA,Scenic,1
FELIKS KLUZNIAK,Personal,1
F. J. GONZáLEZ,Sound,1
DOLORES CUANDRA,Preserving,1
PHILIPPE FUTTERSACK,Alternative,1
DOLORES CUANDRA,Relationship,1
CORAL CALERO,Data,1
MARC VAN LEEUWEN,Language,1
ROGER KING,Models,1
MANUEL SERRANO,Warehouse,1
J. V. BENLLOCH,Via,1
RICARDO LóPEZ PIETRO,Hyperspace,1
VALERIA MIHALACHE,Lindenmayer,1
F. J. GONZáLEZ,Suprasegmental,1
DAVID C. RICHARDSON,Ore,1
DAVID MAIER,Fast,1
A. MECCHIA,Codasyl,1
ALEXIEI DINGLI,Using,1
PAOLO CONFORTO,Accord,1
ALEXANDRU MATEESCU,Road,1
M. LACRUZ,Actions,1
ANTONIO NAVARRO,Development,1
FELIKS KLUZNIAK,The,1
MICHAEL J. FRANKLIN,Recovery,1
STEFANO PARABOSCHI,Applications,1
DAVID B. FOGEL,Evolutionary,1
